,Área,1º sem 2016,2º sem 2016,1º sem 2017,2º sem 2017,1º sem 2018,2º sem 2018
Consórcio Transnoroeste 1,1,"77,919,861","81,195,458","76,245,205","78,085,286","75,533,546","78,173,954"
Consórcio Transnoroeste 2,2,"56,066,043","58,493,812","54,844,542","55,795,426","55,302,107","55,775,571"
Empresa Transunião Transporte S/A,3,"58,542,034","61,875,961","58,647,457","60,475,103","58,060,830","60,449,500"
Qualibus Qualidade em Transporte S/A,3,"10,046,651","9,987,191","8,075,110","7,982,259","8,880,935","10,215,275"
Pêssego Transportes Ltda,4,"47,630,618","51,444,494","49,328,031","51,524,899","50,115,332","51,919,425"
Allibus Transportes Ltda,4,"77,036,364","81,877,873","77,856,737","80,324,124","77,614,787","78,913,913"
Move e Imperial,5,"71,308,809","74,098,726","70,295,344","71,972,004","69,268,462","68,027,003"
Transwolff Transportes e Turismo Ltda 6,6,"65,418,015","67,453,079","64,213,540","66,059,722","62,885,042","64,827,056"
A 2 Transportes Ltda,6,"47,211,545","48,512,586","45,455,685","47,158,301","46,771,428","47,907,466"
Transwolff Transportes e Turismo Ltda 7,7,"57,513,768","59,999,998","57,120,893","59,397,381","55,679,158","57,565,319"
Auto Viação Transcap Ltda,8,"22,859,291","23,517,140","22,065,503","22,739,642","22,200,400","22,458,874"
Alfa Rodobus S/A,8,"12,938,237","13,807,130","13,070,336","13,504,000","13,337,080","13,936,359"
