,Área,Jan-2016,Feb-2016,Mar-2016,Apr-2016,May-2016,Jun-2016,Jul-2016,Aug-2016,Sep-2016,Oct-2016,Nov-2016,Dec-2016,Jan-2017,Feb-2017,Mar-2017,Apr-2017,May-2017,Jun-2017,Jul-2017,Aug-2017,Sep-2017,Oct-2017,Nov-2017,Dec-2017,Jan-2018,Feb-2018,Mar-2018,Apr-2018,May-2018,Jun-2018,Jul-2018,Aug-2018,Sep-2018,Oct-2018,Nov-2018,Dec-2018
Consórcio Transnoroeste 1,1,"11,282,253","12,137,141","13,953,111","13,425,779","13,565,286","13,556,291","12,706,576","14,238,457","13,718,424","13,849,197","13,517,737","13,165,067","11,358,732","12,068,351","14,194,666","12,607,263","14,158,185","11,858,008","12,496,745","13,694,174","13,059,084","13,252,656","12,956,588","12,626,039","11,245,227","11,533,070","13,475,556","13,204,363","13,430,585","12,644,745","12,136,742","14,010,471","12,950,893","13,930,031","12,771,611","12,374,206"
Consórcio Transnoroeste 2,2,"7,989,703","8,727,140","10,172,247","9,703,985","9,713,358","9,759,610","9,086,760","10,311,626","9,944,775","9,954,562","9,737,545","9,458,544","8,104,107","8,622,608","10,353,151","8,938,477","10,229,961","8,596,238","8,867,573","8,848,616","9,644,066","9,884,803","9,451,809","9,098,559","8,091,076","8,422,573","10,016,438","9,739,520","9,740,133","9,292,367","8,603,811","10,113,611","9,228,720","9,883,200","9,138,241","8,807,988"
Empresa Transunião Transporte S/A,3,"8,737,980","9,104,535","10,450,240","9,997,543","10,094,151","10,157,585","9,757,538","10,710,101","10,365,993","10,542,792","10,298,753","10,200,784","9,076,348","8,978,524","10,906,719","9,767,025","10,714,694","9,204,147","9,810,392","10,460,150","10,095,702","10,353,743","9,921,187","9,833,929","8,652,324","8,524,927","10,382,106","10,160,132","10,337,614","10,003,727","9,654,795","10,798,337","9,947,952","10,567,092","9,787,973","9,693,351"
Qualibus Qualidade em Transporte S/A,3,"1,510,878","1,542,636","1,760,415","1,717,352","1,731,053","1,784,317","1,654,150","1,785,697","1,724,826","1,701,037","1,627,712","1,493,769","1,242,937","1,297,184","1,571,490","1,366,995","1,397,301","1,199,203","1,304,385","1,380,694","1,339,032","1,403,567","1,260,199","1,294,382","1,249,703","1,321,367","1,560,436","1,537,953","1,643,418","1,568,058","1,544,072","1,808,618","1,632,116","1,816,935","1,708,545","1,704,989"
Pêssego Transportes Ltda,4,"6,774,504","7,552,352","8,626,770","8,249,359","8,241,652","8,185,981","7,725,192","8,928,387","8,772,302","8,900,804","8,677,356","8,440,453","7,424,953","7,734,763","9,258,068","8,127,812","9,084,332","7,698,103","8,073,213","9,055,585","8,689,641","8,819,242","8,534,222","8,352,996","7,430,519","7,564,569","8,854,178","8,587,249","9,065,820","8,612,997","8,127,706","9,221,296","8,717,130","9,204,885","8,422,659","8,225,749"
Allibus Transportes Ltda,4,"11,052,321","11,779,245","13,903,062","13,318,793","13,417,374","13,565,569","12,734,172","14,380,858","13,875,797","13,977,140","13,569,960","13,339,946","11,690,971","12,170,154","14,586,510","12,834,284","14,398,328","12,176,490","12,861,099","14,202,139","13,502,416","13,813,548","13,265,449","12,679,473","11,415,776","11,691,586","13,830,295","13,478,874","13,991,612","13,206,644","12,302,816","13,999,385","13,212,189","13,994,330","12,853,359","12,551,834"
Move e Imperial,5,"10,471,371","11,204,230","12,783,862","12,240,505","12,247,172","12,361,669","11,352,753","13,004,805","12,550,814","12,746,999","12,386,953","12,056,402","10,608,140","11,061,104","13,098,340","11,546,213","12,996,218","10,985,329","11,461,117","12,787,387","12,156,217","12,435,131","11,861,417","11,270,735","10,323,724","10,580,292","12,347,788","11,958,235","12,377,540","11,680,883","11,019,007","12,526,898","11,382,311","11,974,938","10,753,973","10,369,876"
Transwolff Transportes e Turismo Ltda 6,6,"9,772,332","10,309,605","11,775,509","11,222,928","11,144,561","11,193,080","10,653,239","11,702,178","11,308,050","11,507,002","11,138,116","11,144,494","9,878,414","10,138,214","11,916,376","10,602,733","11,730,371","9,947,432","10,560,915","11,552,547","11,026,020","11,345,027","10,860,352","10,714,861","9,714,323","9,787,930","11,411,339","10,503,153","10,796,198","10,672,099","10,131,644","11,488,749","10,738,687","11,441,480","10,553,280","10,473,216"
A 2 Transportes Ltda,6,"7,065,257","7,361,605","8,419,614","8,132,409","8,186,975","8,045,685","7,707,649","8,436,682","8,117,149","8,291,797","8,051,648","7,907,661","6,912,234","7,145,227","8,481,482","7,515,190","8,344,964","7,056,588","7,557,278","8,191,358","7,888,915","8,057,503","7,780,897","7,682,350","6,935,625","7,088,868","8,293,293","8,117,885","8,388,554","7,947,203","7,523,068","8,556,335","7,944,319","8,475,047","7,776,144","7,632,553"
Transwolff Transportes e Turismo Ltda 7,7,"8,730,555","9,057,709","10,303,059","9,835,691","9,847,544","9,739,210","9,368,935","10,374,330","10,044,558","10,258,013","10,017,094","9,937,068","8,753,838","9,017,989","10,462,533","9,591,221","10,524,992","8,770,320","9,532,412","10,271,859","9,964,594","10,195,629","9,768,380","9,664,507","8,746,851","8,696,906","10,110,010","9,116,971","9,526,098","9,482,322","9,108,438","10,182,991","9,617,317","9,932,360","9,364,924","9,359,289"
Auto Viação Transcap Ltda,8,"3,235,678","3,498,660","4,124,676","3,938,982","4,035,374","4,025,921","3,697,833","4,147,645","3,986,548","4,006,948","3,890,313","3,787,853","3,230,079","3,477,858","4,137,266","3,640,674","4,121,640","3,457,986","3,576,640","4,065,273","3,822,932","3,908,916","3,752,999","3,612,882","3,226,671","3,362,074","3,948,143","3,870,659","3,994,606","3,798,247","3,528,619","4,098,944","3,737,357","4,032,367","3,633,889","3,427,698"
Alfa Rodobus S/A,8,"1,948,480","1,989,137","2,282,381","2,212,979","2,241,810","2,263,450","2,182,779","2,432,454","2,323,693","2,321,218","2,276,877","2,270,109","2,044,805","2,051,071","2,456,575","2,138,676","2,414,941","1,964,268","2,179,770","2,308,071","2,292,458","2,321,039","2,193,598","2,209,064","2,039,006","2,064,951","2,383,688","2,310,375","2,302,976","2,236,084","2,181,432","2,487,472","2,279,274","2,439,709","2,279,722","2,268,750"
