,Área,1º sem 2016,2º sem 2016,1º sem 2017,2º sem 2017,1º sem 2018,2º sem 2018
Consórcio Transnoroeste 1,1,0,0.1670082878,0.1044322526,0.1235267211,0.1290186345,0.2002443149
Consórcio Transnoroeste 2,2,0,0.1779436245,0.1186541048,0.1434718803,0.2615847235,0.3168269041
Empresa Transunião Transporte S/A,3,0,0.1755457426,0.1233409527,0.1290501899,0.1465551919,0.1822426476
Qualibus Qualidade em Transporte S/A,3,0,0.1173273499,-0.07355630399,-0.08449524813,0.04543647836,0.299795147
Pêssego Transportes Ltda,4,0,0.1915829847,0.1410396477,0.1687224917,0.1965818541,0.2715394193
Allibus Transportes Ltda,4,0,0.1899004006,0.1382790548,0.1603624528,0.1692298178,0.2088608416
Move e Imperial,5,0,0.1724282955,0.1142075872,0.1219734464,0.1807862065,0.1897255849
Transwolff Transportes e Turismo Ltda 6,6,0,0.1460602868,0.1041481325,0.1335689447,0.1691455035,0.2573552107
A 2 Transportes Ltda,6,0,0.1541628879,0.08839842934,0.1234452492,0.2778332863,0.345356981
Transwolff Transportes e Turismo Ltda 7,7,0,0.1628500825,0.1197709078,0.1670880251,0.2572408218,0.3393289049
Auto Viação Transcap Ltda,8,0,0.1605353595,0.09353281794,0.1193477633,0.3718153165,0.4103383527
Alfa Rodobus S/A,8,0,0.2064923334,0.157209379,0.19492231,0.2382188112,0.3339834232
