,Área,1º sem 2016,2º sem 2016,1º sem 2017,2º sem 2017,1º sem 2018,2º sem 2018
Consórcio Transnoroeste 1,1,"132,249,688","154,336,482","146,060,820","148,586,058","149,312,362","158,731,936"
Consórcio Transnoroeste 2,2,"88,496,103","104,243,420","98,996,529","101,192,805","111,645,331","116,534,049"
Empresa Transunião Transporte S/A,3,"90,032,331","105,837,123","101,137,005","101,651,020","103,227,037","106,440,061"
Qualibus Qualidade em Transporte S/A,3,"21,782,085","24,337,719","20,179,875","19,941,602","22,771,786","28,312,248"
Pêssego Transportes Ltda,4,"87,159,511","103,857,790","99,452,457","101,865,280","104,293,489","110,826,754"
Allibus Transportes Ltda,4,"105,253,101","125,240,707","119,807,400","122,131,747","123,065,064","127,236,352"
Move e Imperial,5,"111,757,215","131,027,321","124,520,737","125,388,628","131,961,378","132,960,418"
Transwolff Transportes e Turismo Ltda 6,6,"106,922,755","122,539,924","118,058,561","121,204,315","125,008,259","134,439,884"
A 2 Transportes Ltda,6,"82,266,813","94,949,302","89,539,070","92,422,260","105,123,272","110,678,231"
Transwolff Transportes e Turismo Ltda 7,7,"100,309,152","116,644,506","112,323,270","117,069,610","126,112,761","134,346,947"
Auto Viação Transcap Ltda,8,"45,634,874","52,960,885","49,903,233","51,081,295","62,602,620","64,360,614"
Alfa Rodobus S/A,8,"25,006,605","30,170,277","28,937,878","29,880,950","30,963,648","33,358,396"
