,Área,Jan-2016,Feb-2016,Mar-2016,Apr-2016,May-2016,Jun-2016,Jul-2016,Aug-2016,Sep-2016,Oct-2016,Nov-2016,Dec-2016,Jan-2017,Feb-2017,Mar-2017,Apr-2017,May-2017,Jun-2017,Jul-2017,Aug-2017,Sep-2017,Oct-2017,Nov-2017,Dec-2017,Jan-2018,Feb-2018,Mar-2018,Apr-2018,May-2018,Jun-2018,Jul-2018,Aug-2018,Sep-2018,Oct-2018,Nov-2018,Dec-2018
Consórcio Transnoroeste 1,1,"18,025,881.82","20,553,057.54","23,953,224.23","22,886,354.88","23,246,861.67","23,584,307.54","26,243,005.87","26,842,780.49","25,755,297.35","26,028,970.71","25,415,406.67","24,051,020.49","20,766,052.78","22,236,629.82","26,543,883.05","23,596,143.73","26,719,281.50","26,198,829.59","22,841,083.85","26,516,592.63","25,482,519.33","25,300,457.12","25,358,225.77","23,087,179.26","22,223,226.46","21,204,913.67","27,710,197.77","26,313,094.59","26,775,444.05","25,085,485.26","24,301,749.75","29,315,944.80","26,258,383.41","28,371,570.84","25,983,382.33","24,500,904.65"
Consórcio Transnoroeste 2,2,"11,913,590.16","13,500,711.67","16,018,578.05","15,425,347.62","15,657,688.25","15,980,187.11","17,691,621.52","18,272,759.38","17,569,485.10","17,505,651.26","17,120,846.79","16,083,056.11","13,830,418.78","14,911,845.14","18,125,992.84","15,664,248.37","18,600,949.87","17,863,073.72","15,178,299.48","18,458,402.93","17,573,865.72","17,530,287.44","16,982,182.33","15,469,767.24","14,879,938.71","17,502,203.36","21,082,312.40","19,637,391.60","19,716,501.21","18,826,984.18","17,119,028.03","21,765,995.58","19,316,564.42","20,932,342.39","19,457,530.76","17,942,587.97"
Empresa Transunião Transporte S/A,3,"12,919,650.94","13,896,600.19","16,039,219.96","15,432,644.78","15,838,115.97","15,906,099.20","18,195,711.96","18,254,307.29","17,544,526.39","17,759,333.39","17,416,674.04","16,666,570.38","14,920,555.26","14,932,360.13","18,825,009.04","16,448,693.77","18,149,790.91","17,860,595.41","16,169,179.02","18,112,073.78","17,427,872.72","17,396,651.91","16,742,430.03","15,802,813.00","15,319,595.38","14,269,591.81","19,714,475.51","18,084,009.82","18,042,972.55","17,796,391.52","16,333,671.35","19,793,029.62","17,544,793.85","18,712,312.80","17,590,733.54","16,465,520.26"
Qualibus Qualidade em Transporte S/A,3,"2,410,925.74","3,765,590.42","4,018,875.79","3,721,268.64","3,918,649.05","3,946,775.28","4,353,339.98","4,355,067.36","4,132,635.26","4,057,037.87","3,994,595.32","3,445,043.43","3,046,044.68","3,196,270.10","3,763,921.29","3,207,275.39","3,555,329.96","3,411,033.84","3,374,375.10","3,649,906.91","3,406,055.06","3,390,520.53","3,177,406.09","2,943,338.56","3,152,349.00","3,328,449.89","4,025,251.55","3,897,111.60","4,323,220.99","4,045,403.12","4,098,026.11","5,216,567.72","4,485,929.34","5,114,995.99","4,797,145.65","4,599,583.46"
Pêssego Transportes Ltda,4,"11,709,703.67","13,899,345.79","15,587,299.65","15,194,490.32","15,298,438.98","15,470,232.25","17,390,618.99","18,114,124.71","17,527,757.66","17,603,079.26","17,145,592.41","16,076,616.83","14,320,553.02","14,985,184.91","18,249,332.11","16,108,919.52","18,192,897.12","17,595,570.66","15,555,959.52","18,321,206.78","17,434,339.02","17,452,272.37","17,165,029.35","15,936,473.43","15,329,632.28","14,805,820.07","19,150,313.95","18,014,295.48","19,257,076.96","17,736,350.13","16,664,892.27","20,378,720.40","18,657,059.25","19,640,941.00","18,114,232.83","17,370,907.82"
Allibus Transportes Ltda,4,"14,571,386.93","15,824,619.06","19,077,682.87","18,279,084.98","18,515,835.19","18,984,492.11","21,278,148.27","21,833,295.44","21,023,597.96","21,094,605.61","20,487,883.57","19,523,176.36","17,020,422.27","17,964,657.22","21,981,311.23","19,323,002.00","22,037,090.60","21,480,917.16","19,190,362.49","22,142,897.93","20,883,187.41","21,046,256.61","20,434,321.99","18,434,720.17","18,385,558.24","17,609,898.06","23,075,820.34","21,526,767.14","22,024,508.52","20,442,511.97","19,112,670.41","22,767,185.06","21,745,909.59","22,691,929.65","21,082,895.60","19,835,762.11"
Move e Imperial,5,"15,502,848.93","17,295,058.02","19,948,275.21","19,352,262.48","19,734,930.97","19,923,839.55","22,445,408.32","22,825,320.13","21,887,517.16","22,136,537.70","21,481,462.70","20,251,075.27","17,797,108.90","18,789,546.85","22,676,647.50","20,138,801.22","22,879,627.82","22,239,004.77","19,521,416.58","23,041,834.41","21,806,224.45","21,608,307.80","20,696,197.75","18,714,646.86","19,191,511.44","19,848,494.15","24,492,353.15","22,731,798.41","23,454,321.32","22,242,899.67","20,604,241.72","24,951,489.78","22,610,092.89","23,615,467.04","20,905,152.87","20,273,973.87"
Transwolff Transportes e Turismo Ltda 6,6,"15,426,385.00","16,663,889.97","19,240,334.59","18,434,386.27","18,383,053.51","18,774,706.14","21,138,597.82","21,079,435.50","20,312,834.10","20,553,114.60","19,966,219.66","19,489,722.13","17,307,654.65","17,948,182.77","21,370,156.49","19,007,137.08","21,256,505.75","21,168,924.04","18,961,062.02","21,813,288.37","20,764,555.40","20,757,567.00","20,030,185.34","18,877,656.96","18,509,138.20","18,999,855.41","23,487,628.75","20,632,561.09","22,254,445.73","21,124,629.61","19,988,401.73","24,847,337.12","22,345,479.57","23,778,621.31","22,101,922.08","21,378,121.93"
A 2 Transportes Ltda,6,"11,585,792.80","12,667,900.57","14,753,035.81","14,347,555.50","14,513,915.46","14,398,612.79","16,329,555.31","16,387,057.56","15,781,749.74","16,093,664.50","15,512,661.03","14,844,614.25","12,869,833.09","13,510,052.81","16,293,477.36","14,501,247.34","16,280,479.30","16,083,980.08","14,285,231.08","16,469,570.51","15,893,459.08","15,895,606.14","15,442,756.44","14,435,636.90","14,093,735.83","16,288,797.69","19,314,352.89","18,184,423.65","19,134,688.61","18,107,273.25","16,904,571.73","20,243,211.79","18,427,280.84","19,677,028.52","18,145,656.15","17,280,482.05"
Transwolff Transportes e Turismo Ltda 7,7,"14,634,848.26","15,568,961.17","17,936,118.28","17,203,991.09","17,411,068.83","17,554,164.63","19,894,540.43","19,998,169.32","19,276,972.94","19,688,648.64","19,181,266.87","18,604,907.78","16,409,485.17","17,055,899.64","20,057,727.25","18,390,843.11","20,388,604.60","20,020,710.72","18,349,921.35","20,884,739.30","20,183,517.01","20,021,469.74","19,303,281.57","18,326,681.44","17,917,990.23","20,162,647.99","23,458,444.27","20,303,907.94","22,861,579.95","21,408,190.64","20,321,414.83","24,335,706.88","22,473,183.70","23,179,537.32","22,503,868.10","21,533,236.22"
