Consórcio,Área,Jan-2016,Feb-2016,Mar-2016,Apr-2016,May-2016,Jun-2016,Jul-2016,Aug-2016,Sep-2016,Oct-2016,Nov-2016,Dec-2016,Jan-2017,Feb-2017,Mar-2017,Apr-2017,May-2017,Jun-2017,Jul-2017,Aug-2017,Sep-2017,Oct-2017,Nov-2017,Dec-2017,Jan-2018,Feb-2018,Mar-2018,Apr-2018,May-2018,Jun-2018,Jul-2018,Aug-2018,Sep-2018,Oct-2018,Nov-2018,Dec-2018
Consórcio Transnoroeste 1,1,0,-0.00313130241,-0.006421823586,-0.006421823586,-0.006421823586,-0.006421823586,0.07366521601,0.07366521601,0.07366521601,0.07366521601,0.07366521601,0.07366521601,0.07366521601,0.07366521601,0.07366521601,0.07366521601,0.07366521601,0.1053497506,0.1053497506,0.1053497506,0.1053497506,0.1053497506,0.1053497506,0.1053497506,0.1053497506,0.109807876,0.109807876,0.109807876,0.109807876,0.109807876,0.109807876,0.1599617875,0.1599617875,0.1599617875,0.1599617875,0.1599617875
Consórcio Transnoroeste 2,2,0,-0.003240867893,-0.006536665751,-0.006536665751,-0.006536665751,-0.006536665751,0.07355122219,0.07360615216,0.07360615216,0.07360615216,0.07360615216,0.07360615216,0.07360615216,0.07360615216,0.07360615216,0.07360615216,0.07360615216,0.1052458116,0.1052458116,0.1052458116,0.1052458116,0.1052458116,0.1052458116,0.1052458116,0.1052458116,0.2054380665,0.2054380665,0.2054380665,0.2054380665,0.2054380665,0.2054380665,0.2623455095,0.2623455095,0.2623455095,0.2623455095,0.2623455095
Empresa Transunião Transporte S/A,3,0,-0.003497539866,-0.006757958385,-0.006757958385,-0.006757958385,-0.006757958385,0.07255913214,0.07255913214,0.07255913214,0.07255913214,0.07255913214,0.07255913214,0.07255913214,0.07255913214,0.07255913214,0.07255913214,0.07255913214,0.1042148319,0.1042148319,0.1042148319,0.1042148319,0.1042148319,0.1042148319,0.1042148319,0.1042148319,0.1042148319,0.1042148319,0.1042148319,0.1042148319,0.1042148319,0.1042148319,0.1623095619,0.1623095619,0.1623095619,0.1623095619,0.1623095619
Qualibus Qualidade em Transporte S/A,3,0,0.08164967563,0.07873030584,0.07873030584,0.07873030584,0.07873030584,0.1648748842,0.1648748842,0.1648748842,0.1648748842,0.1648748842,0.1648748842,0.1648748842,0.1648748842,0.1648748842,0.1648748842,0.1648748842,0.1992122335,0.1992122335,0.1992122335,0.1992122335,0.1992122335,0.1992122335,0.1992122335,0.1992122335,0.2796570899,0.2796570899,0.2796570899,0.2796570899,0.2796570899,0.2796570899,0.3713160334,0.3713160334,0.3713160334,0.3713160334,0.3713160334
Pêssego Transportes Ltda,4,0,-0.002998729352,-0.00625158831,-0.00625158831,-0.00625158831,-0.00625158831,0.07374841169,0.07374841169,0.07374841169,0.07374841169,0.07374841169,0.07374841169,0.07374841169,0.07374841169,0.07374841169,0.07374841169,0.07374841169,0.1054129606,0.1054129606,0.1054129606,0.1054129606,0.1054129606,0.1054129606,0.1054129606,0.1054129606,0.1054129606,0.1054129606,0.1054129606,0.1054129606,0.1054129606,0.1054129606,0.1443456163,0.1443456163,0.1443456163,0.1443456163,0.1443456163
Allibus Transportes Ltda,4,0,-0.003781566466,-0.007050378157,-0.007050378157,-0.007050378157,-0.007050378157,0.0738366876,0.0738366876,0.0738366876,0.0738366876,0.0738366876,0.0738366876,0.0738366876,0.0738366876,0.0738366876,0.0738366876,0.0738366876,0.105499295,0.105499295,0.105499295,0.105499295,0.105499295,0.105499295,0.105499295,0.105499295,0.105499295,0.105499295,0.105499295,0.105499295,0.105499295,0.105499295,0.105499295,0.1348545058,0.1348545058,0.1348545058,0.1348545058
Move-SP e Imperial,5,0,0,-0.003076078001,-0.003076078001,-0.003076078001,-0.003076078001,0.07712166987,0.07712166987,0.07712166987,0.07712166987,0.07712166987,0.07712166987,0.07712166987,0.07712166987,0.07712166987,0.07712166987,0.07712166987,0.1088711892,0.1088711892,0.1088711892,0.1088711892,,,,,,,,,,,,,,,
Movebuss Soluções em Mobilidde Urbana Ltda,5,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.02790239093,0.02790239093,0.02790239093,0.02790239093,0.02790239093,0.02790239093,0.06857283707,0.06857283707,0.06857283707,0.06857283707,0.06857283707
Imperial Transportes Urbanos Ltda,5,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.07440806045,0.07440806045,0.07440806045,0.07440806045,0.07440806045,0.07440806045,0.1024685139,0.1024685139,0.1024685139,0.1024685139,0.1024685139
Transwolff Transportes e Turismo Ltda 6,6,0,0,-0.00320729237,-0.00320729237,-0.00320729237,-0.00320729237,0.07691874859,0.07691874859,0.07691874859,0.07691874859,0.07691874859,0.07691874859,0.07691874859,0.07691874859,0.07691874859,0.07691874859,0.07691874859,0.1086540626,0.1086540626,0.1086540626,0.1086540626,0.1086540626,0.1086540626,0.1086540626,0.1086540626,0.1525433266,0.1525433266,0.1525433266,0.1525433266,0.1525433266,0.1525433266,0.2229349539,0.2229349539,0.2229349539,0.2229349539,0.2229349539
