Consórcio,Área,Jan-2016,Feb-2016,Mar-2016,Apr-2016,May-2016,Jun-2016,Jul-2016,Aug-2016,Sep-2016,Oct-2016,Nov-2016,Dec-2016,Jan-2017,Feb-2017,Mar-2017,Apr-2017,May-2017,Jun-2017,Jul-2017,Aug-2017,Sep-2017,Oct-2017,Nov-2017,Dec-2017,Jan-2018,Feb-2018,Mar-2018,Apr-2018,May-2018,Jun-2018,Jul-2018,Aug-2018,Sep-2018,Oct-2018,Nov-2018,Dec-2018
Consórcio Transnoroeste 1,1,1.884,1.878,1.872,1.872,1.872,1.872,2.023,2.023,2.023,2.023,2.023,2.023,2.023,2.023,2.023,2.023,2.023,2.083,2.083,2.083,2.083,2.083,2.083,2.083,2.083,2.091,2.091,2.091,2.091,2.091,2.091,2.186,2.186,2.186,2.186,2.186
Consórcio Transnoroeste 2,2,1.821,1.815,1.809,1.809,1.809,1.809,1.954,1.955,1.955,1.955,1.955,1.955,1.955,1.955,1.955,1.955,1.955,2.012,2.012,2.012,2.012,2.012,2.012,2.012,2.012,2.195,2.195,2.195,2.195,2.195,2.195,2.298,2.298,2.298,2.298,2.298
Empresa Transunião Transporte S/A,3,1.687,1.681,1.676,1.676,1.676,1.676,1.809,1.809,1.809,1.809,1.809,1.809,1.809,1.809,1.809,1.809,1.809,1.863,1.863,1.863,1.863,1.863,1.863,1.863,1.863,1.863,1.863,1.863,1.863,1.863,1.863,1.961,1.961,1.961,1.961,1.961
Qualibus Qualidade em Transporte S/A,3,2.158,2.334,2.328,2.328,2.328,2.328,2.514,2.514,2.514,2.514,2.514,2.514,2.514,2.514,2.514,2.514,2.514,2.588,2.588,2.588,2.588,2.588,2.588,2.588,2.588,2.762,2.762,2.762,2.762,2.762,2.762,2.959,2.959,2.959,2.959,2.959
Pêssego Transportes Ltda,4,1.968,1.962,1.955,1.955,1.955,1.955,2.113,2.113,2.113,2.113,2.113,2.113,2.113,2.113,2.113,2.113,2.113,2.175,2.175,2.175,2.175,2.175,2.175,2.175,2.175,2.175,2.175,2.175,2.175,2.175,2.175,2.252,2.252,2.252,2.252,2.252
Allibus Transportes Ltda,4,1.560,1.554,1.549,1.549,1.549,1.549,1.675,1.675,1.675,1.675,1.675,1.675,1.675,1.675,1.675,1.675,1.675,1.725,1.725,1.725,1.725,1.725,1.725,1.725,1.725,1.725,1.725,1.725,1.725,1.725,1.725,1.725,1.771,1.771,1.771,1.771
Move-SP e Imperial,5,1.821,1.821,1.815,1.815,1.815,1.815,1.961,1.961,1.961,1.961,1.961,1.961,1.961,1.961,1.961,1.961,1.961,2.019,2.019,2.019,2.019,,,,,,,,,,,,,,,
Movebuss Soluções em Mobilidde Urbana Ltda,5,,,,,,,,,,,,,,,,,,,,,2.029,2.029,2.029,2.029,2.029,2.085,2.085,2.085,2.085,2.085,2.085,2.168,2.168,2.168,2.168,2.168
Imperial Transportes Urbanos Ltda,5,,,,,,,,,,,,,,,,,,,,,1.985,1.985,1.985,1.985,1.985,2.133,2.133,2.133,2.133,2.133,2.133,2.188,2.188,2.188,2.188,2.188
Transwolff Transportes e Turismo Ltda 6,6,1.777,1.777,1.772,1.772,1.772,1.772,1.914,1.914,1.914,1.914,1.914,1.914,1.914,1.914,1.914,1.914,1.914,1.970,1.970,1.970,1.970,1.970,1.970,1.970,1.970,2.048,2.048,2.048,2.048,2.048,2.048,2.173,2.173,2.173,2.173,2.173
A 2 Transportes Ltda,6,2.002,2.002,1.995,1.995,1.995,1.995,2.156,2.156,2.156,2.156,2.156,2.156,2.156,2.156,2.156,2.156,2.156,2.219,2.219,2.219,2.219,2.219,2.219,2.219,2.219,2.405,2.405,2.405,2.405,2.405,2.405,2.485,2.485,2.485,2.485,2.485
Transwolff Transportes e Turismo Ltda 7,7,1.914,1.914,1.907,1.907,1.907,1.907,2.061,2.061,2.061,2.061,2.061,2.061,2.061,2.061,2.061,2.061,2.061,2.121,2.121,2.121,2.121,2.121,2.121,2.121,2.121,2.304,2.304,2.304,2.304,2.304,2.304,2.431,2.431,2.431,2.431,2.431
Auto Viação Transcap Ltda,8,2.273,2.273,2.266,2.266,2.266,2.266,2.447,2.447,2.447,2.447,2.447,2.447,2.447,2.447,2.447,2.447,2.447,2.519,2.519,2.519,2.519,2.519,2.519,2.519,2.519,2.894,2.894,2.894,2.894,2.894,2.894,3.067,3.067,3.067,3.067,3.067
Alfa Rodobus S/A,8,2.232,2.226,2.218,2.218,2.218,2.218,2.397,2.397,2.397,2.397,2.397,2.397,2.397,2.397,2.397,2.397,2.397,2.468,2.468,2.468,2.468,2.468,2.468,2.468,2.468,2.507,2.507,2.507,2.507,2.507,2.507,2.623,2.623,2.623,2.623,2.623
